id,pdf,question,answer,ground_truth,guard_status,source_page,faithfulness,answer_relevancy,context_precision
q001,fraudulent_job_messages_samples.pdf,What is the Equipment Check email scam?,"Insufficient evidence in the provided document to determine what the Equipment Check email scam is. However, there are examples of common recruitment scams, including ""The High-Pay SMS Hook"", which may be similar but not necessarily the same as the Equipment Check email scam.","The Equipment Check scam involves a fake job offer where the candidate is told a certified check for $4,500 will be mailed to purchase home office equipment, and then asked to send the remaining balance to a vendor via Zelle or Wire Transfer.",OK,1,0.6,0.2,0.9
q002,fraudulent_job_messages_samples.pdf,What platform does the High-Pay SMS Hook scam direct victims to?,"Insufficient evidence in the provided document to determine what platform the High-Pay SMS Hook scam directs victims to, as the text only describes a template for the scam message.",The High-Pay SMS Hook scam directs victims to contact a manager on Telegram.,OK,1,0.8,0.8,0.9
q003,fraudulent_job_messages_samples.pdf,What hourly pay range is advertised in the High-Pay SMS Hook scam?,"The hourly pay range advertised in the High-Pay SMS Hook scam is $35–$70 per hour. 

[#][1], [#][2], [#][3], [#][4], and [#][5] all mention this pay range.",The scam advertises a pay rate of $35 to $70 per hour.,OK,1,0.8,0.9,0.9
q004,fraudulent_job_messages_samples.pdf,What does the Task-Based WhatsApp scam promise workers can earn daily?,"According to the evidence, the Task-Based WhatsApp scam promises workers can earn $200 daily by working only 30-60 minutes a day from home. [1], [2], [3], [4], and [5] all mention this promise in relation to the ""Task-Based"" WhatsApp Scam.",The scam claims workers can earn $200 daily by working only 30 to 60 minutes a day from home.,OK,2,0.8,0.9,0.9
q005,fraudulent_job_messages_samples.pdf,What is the Reshipping scam and what monthly salary does it advertise?,"The Reshipping scam is not explicitly mentioned in the provided evidence, but it appears to be similar to the ""High-Pay SMS Hook"" described in [1] through [5]. This scam involves a message claiming to be from Amazon HR, offering a Remote Assistant position with pay ranging from $35–$70 per hour.","The Reshipping scam presents itself as a Logistics Manager role where victims receive packages at home and reship them to international addresses, advertising a salary of $3,000 per month.",OK,2,0.2,0.8,0.8
q006,fraudulent_job_messages_samples.pdf,What does the safety checklist say about legitimate companies and equipment costs?,Insufficient evidence in the provided document.,Legitimate companies will never ask you to pay for equipment via a check-and-refund scheme.,OK,2,0.5,0.5,0.0
q007,fraudulent_job_messages_samples.pdf,What does the safety checklist recommend doing to verify a suspicious job posting?,Insufficient evidence in the provided document.,The checklist recommends searching the job title plus the word scam online to see if others have reported similar messages.,OK,2,0.5,0.5,0.8
q008,fraudulent_job_messages_samples.pdf,How can you verify whether an email job offer is from a legitimate company?,"Insufficient evidence in the provided document to directly answer how to verify whether an email job offer is from a legitimate company. However, based on the examples of fraudulent job messages, it can be inferred that red flags include:

* Unsolicited contact with promises of high pay
* Lack of specific details about the position or company
* Requests for personal or financial information

To verify legitimacy, one could research the company's official website and social media to see if they are posting similar job openings. They could also contact the company directly through a verified phone number or email address listed on their official website.",You should verify that the sender's email domain matches the official company website.,OK,2,0.8,0.8,0.8
q009,fraudulent_job_messages_samples.pdf,What age requirement is stated in the Task-Based WhatsApp scam?,"The age requirement stated in the Task-Based WhatsApp scam is 20+ years old. 

[#] [1], [2], [3], [4], and [5].",The scam states that applicants must be 20 years old or older.,OK,2,0.8,0.8,0.9
q010,fraudulent_job_messages_samples.pdf,What messaging platforms does the safety checklist warn are inappropriate for legitimate hiring?,"Insufficient evidence in the provided document to determine which messaging platforms are specifically warned as inappropriate for legitimate hiring. The examples of fraudulent job messages are presented, but they do not mention specific platforms or warn against using them for legitimate hiring.",The checklist warns that legitimate hiring processes rarely occur exclusively over Telegram or WhatsApp.,OK,2,0.8,0.8,0.8
q011,fraudulent_job_messages_samples.pdf,How many remote workers does the Task-Based WhatsApp scam claim to be looking for?,The Task-Based WhatsApp scam claims to be looking for 50 remote workers.,The scam claims to be looking for 50 remote workers.,OK,2,1.0,0.9,0.9
q012,fraudulent_job_messages_samples.pdf,What is the stated purpose of the fraudulent job messages document?,"The stated purpose of the fraudulent job messages document is to help identify potential threats, as indicated in [2], [3], [4], and [5].",The document is intended for educational purposes to help people identify potential threats from recruitment scams.,OK,1,0.8,0.8,0.9
q013,fraudulent_job_messages_samples.pdf,What items is the candidate supposedly being given money to purchase in the Equipment Check scam?,Insufficient evidence in the provided document.,"The candidate is told the money is to purchase a MacBook, Printer, and Software for their home office.",OK,1,0.5,0.5,0.9
q014,fraudulent_job_messages_samples.pdf,What transfer methods does the Equipment Check scam ask victims to use?,"Insufficient evidence in the provided document to determine what transfer methods the Equipment Check scam asks victims to use, as there is no mention of an ""Equipment Check"" scam in the given text.",The scam asks victims to send money via Zelle or Wire Transfer.,OK,1,0.8,0.5,0.9
q015,fraudulent_job_messages_samples.pdf,What is the name of the first scam example described in the document?,"The first scam example described in the document is called ""The High-Pay SMS Hook"".",The first scam example is called The High-Pay SMS Hook.,OK,1,1.0,0.9,0.8
q016,3597503.3639187.pdf,What is GILT?,"According to the evidence, GILT is a tool that provides statistically significant gains in task completion rate compared to using a web search, but the degree of benefit may vary depending on participants' backgrounds or skills.","GILT is a Generation-based Information-support with LLM Technology tool, an in-IDE plugin for VS Code that helps developers understand unfamiliar code by querying an LLM with context from their selected code.",OK,1,0.9,0.8,0.8
q017,3597503.3639187.pdf,Which LLM model does GILT use?,Insufficient evidence in the provided document.,GILT uses OpenAI's GPT-3.5-turbo model.,OK,1,0.8,0.5,0.8
q018,3597503.3639187.pdf,How many participants were in the GILT user study?,"Insufficient evidence in the provided document to determine how many participants were specifically in the GILT user study mentioned on Page 6. However, [4] and [5] mention that there were 33 studies conducted with a total of 33 participants.",The study had 32 participants after one was excluded for not following instructions. 33 were originally recruited.,OK,4,0.2,0.8,0.2
q019,3597503.3639187.pdf,What are the four prompt-less requests GILT supports?,Insufficient evidence in the provided document.,"GILT supports four prompt-less requests: explaining a highlighted section of code, providing details of API calls used in the code, explaining key domain-specific terms, and providing usage examples for an API.",OK,1,0.8,0.5,0.0
q020,3597503.3639187.pdf,What two programming domains were used in the GILT study tasks?,Insufficient evidence in the provided document to answer what two programming domains were used in the GILT study tasks.,The tasks covered data visualization using the Bokeh library and 3D rendering using the Open3D library.,OK,4,0.5,0.5,0.2
q021,3597503.3639187.pdf,What was the statistically significant finding for task progress when using GILT versus web search?,There are statistically significant gains in task completion rate when using GILT compared to a web search.,"Participants using GILT completed significantly more sub-tasks — 0.47 more on average — compared to those using web search, with p less than 0.01.",OK,6,0.8,0.9,0.8
q022,3597503.3639187.pdf,Did GILT show a significant improvement in task completion time?,"Insufficient evidence in the provided document to determine if GILT showed a significant improvement in task completion time. The text mentions statistically significant gains in ""task completion rate"" when using GILT, but it does not specifically mention task completion time.","No, the study did not find a statistically significant difference in task completion time between the GILT condition and the web search condition.",OK,6,0.8,0.8,0.4
q023,3597503.3639187.pdf,Which GILT feature was used most frequently by participants?,Insufficient evidence in the provided document.,"The Overview feature was used most frequently, with an average of 4.76 activations per participant.",OK,6,0.8,0.5,0.8
q024,3597503.3639187.pdf,How did the benefit of GILT differ between students and professionals?,"According to the evidence, students did not experience significant gains when using GILT, whereas professionals experienced statistically significant gains in task completion rate compared to using a web search. This suggests that the benefit of GILT differed between students and professionals.

[#] Page 6: ""These findings suggest that the degree of benefit provided by GILT may vary depending on participants’ backgrounds or skills.""","Professionals gained significantly more from GILT, completing 0.57 more sub-tasks compared to web search, while students did not show a statistically significant improvement.",OK,6,0.8,0.9,0.8
q025,3597503.3639187.pdf,What does prompt-less interaction mean in the context of GILT?,"Prompt-less interaction refers to the ability to interact with a system (in this case, GILT) without needing to formulate an effective prompt. According to the evidence, students ""rely more on prompt-less interaction"" compared to professionals, but it is still not sufficient to compete with the benefits of prompt-based interaction [1-3].","Prompt-less interaction means the user triggers the LLM using pre-defined buttons without writing any explicit prompt, reducing cognitive load especially for novice developers.",OK,1,0.8,0.8,0.8
q026,3597503.3639187.pdf,Why did the researchers switch from GPT-4 to GPT-3.5-turbo?,Insufficient evidence in the provided document.,They switched because pilot studies revealed that GPT-4's response time was too slow.,Top evidence match is too weak.,4,0.8,0.8,0.8
q027,3597503.3639187.pdf,What compensation did GILT study participants receive?,Insufficient evidence in the provided document.,Each participant was compensated with a $25 Amazon Gift card.,OK,4,0.8,0.8,0.2
q028,3597503.3639187.pdf,What is comprehension outsourcing as described in the GILT paper?,Insufficient evidence in the provided document to describe what comprehension outsourcing is as described in the GILT paper.,"Comprehension outsourcing is the behaviour where developers defer their need to understand code to the LLM, prompting it at a high level rather than reading and understanding the code themselves.",OK,10,0.5,0.8,0.0
q029,3597503.3639187.pdf,What study design was used in the GILT evaluation?,"Insufficient evidence in the provided document to determine the study design used in the GILT evaluation. The text only mentions results and findings from the study, but does not describe the study design itself.","A within-subjects design was used, where each participant used both GILT and a search engine but on different tasks.",OK,5,0.8,0.8,0.2
q030,3597503.3639187.pdf,What percentage of participants rated the ability to ask questions directly to the LLM as extremely or very important?,Insufficient evidence in the provided document.,97% of participants rated the ability to directly ask questions to the LLM as extremely or very important.,OK,7,0.8,0.8,0.2
